t_s,current_a,label
1994.336515,1.6664,stall
1994.337515,1.6694,stall
1994.338515,1.6786,stall
1994.339515,1.6694,stall
1994.340515,1.6694,stall
1994.341516,1.6755,stall
1994.342516,1.6816,stall
1994.343517,1.6694,stall
1994.344519,1.6755,stall
1994.345521,1.6755,stall
1994.346522,1.6633,stall
1994.347523,1.6786,stall
1994.348523,1.6694,stall
1994.349523,1.6816,stall
1994.350523,1.6755,stall
1994.351523,1.6755,stall
1994.352523,1.6755,stall
1994.353524,1.6755,stall
1994.354525,1.6633,stall
1994.355527,1.6694,stall
1994.356527,1.6755,stall
1994.357529,1.6694,stall
1994.358529,1.6633,stall
1994.359531,1.6816,stall
1994.360531,1.6755,stall
1994.361531,1.6725,stall
1994.362531,1.6725,stall
1994.363532,1.6694,stall
1994.364533,1.6664,stall
1994.365534,1.6694,stall
1994.366535,1.6694,stall
1994.367536,1.6816,stall
1994.368538,1.6694,stall
1994.36954,1.6755,stall
1994.37054,1.6755,stall
1994.37154,1.6755,stall
1994.37254,1.6755,stall
1994.37354,1.6694,stall
1994.37454,1.6694,stall
1994.375541,1.6633,stall
1994.376541,1.6633,stall
1994.377541,1.6664,stall
1994.378541,1.6755,stall
1994.379541,1.6755,stall
1994.380541,1.6755,stall
1994.381543,1.6755,stall
1994.382543,1.6755,stall
1994.383545,1.6755,stall
1994.384545,1.6755,stall
1994.385546,1.6572,stall
1994.386546,1.6755,stall
1994.387548,1.6755,stall
1994.388548,1.6664,stall
1994.389549,1.6694,stall
1994.39055,1.6755,stall
1994.391552,1.6755,stall
1994.392553,1.6755,stall
1994.393555,1.6755,stall
1994.394557,1.6755,stall
1994.395557,1.6755,stall
1994.396557,1.6755,stall
1994.397557,1.6633,stall
1994.398559,1.6755,stall
1994.399561,1.6816,stall
1994.400562,1.6694,stall
1994.401564,1.6755,stall
1994.402565,1.6816,stall
1994.403565,1.6755,stall
1994.404566,1.6816,stall
1994.405567,1.6694,stall
1994.406567,1.6633,stall
1994.407568,1.6755,stall
1994.408568,1.6755,stall
1994.409568,1.6755,stall
1994.410569,1.6816,stall
1994.41157,1.6816,stall
1994.41257,1.6816,stall
1994.41357,1.6694,stall
1994.414572,1.6511,stall
1994.415573,1.6816,stall
1994.416574,1.6755,stall
1994.417576,1.6725,stall
1994.418576,1.6816,stall
1994.419577,1.6694,stall
1994.420578,1.6694,stall
1994.421578,1.6755,stall
1994.422578,1.6755,stall
1994.423579,1.6816,stall
1994.424581,1.6725,stall
1994.425582,1.6755,stall
1994.426584,1.6633,stall
1994.427585,1.6694,stall
1994.428587,1.6816,stall
1994.429587,1.6755,stall
1994.430587,1.6847,stall
1994.431589,1.6755,stall
1994.432591,1.6999,stall
1994.433592,1.6755,stall
1994.434593,1.6816,stall
1994.435594,1.6786,stall
1994.436595,1.6755,stall
1994.437595,1.6755,stall
1994.438595,1.6755,stall
1994.439597,1.6816,stall
1994.440598,1.6725,stall
1994.441598,1.6694,stall
1994.4426,1.6816,stall
1994.443602,1.6816,stall
1994.444602,1.6816,stall
1994.445602,1.6816,stall
1994.446603,1.6755,stall
1994.447603,1.6816,stall
1994.448604,1.6816,stall
1994.449605,1.6694,stall
1994.450606,1.6816,stall
1994.451607,1.6816,stall
1994.452609,1.6694,stall
1994.453609,1.6755,stall
1994.454609,1.6816,stall
1994.455609,1.6755,stall
1994.456611,1.6877,stall
1994.457612,1.6725,stall
1994.458614,1.6816,stall
